ID | Categoría | Subcategoría | Sub-subcategoría
derecho-aereo | Derecho aéreo | Aeronavegabilidad | Definiciones
derecho-aeronavegabilidad-definiciones | Derecho aéreo | Aeronavegabilidad | Certificado de aeronavegabilidad
derecho-aeronavegabilidad-certificado | Derecho aéreo | Nacionalidad y registro de la aeronave | Definiciones
derecho-nacionalidad-registro-definiciones | Derecho aéreo | Nacionalidad y registro de la aeronave | Marcas de matrícula
derecho-nacionalidad-registro-marcas | Derecho aéreo | Nacionalidad y registro de la aeronave | Certificado de registro
derecho-nacionalidad-registro-certificado | Derecho aéreo | Servicio de información aeronáutica | Definiciones
derecho-servicio-informacion-definiciones | Derecho aéreo | Servicio de información aeronáutica | AIP 
derecho-servicio-informacion-aip | Derecho aéreo | Servicio de información aeronáutica | NOTAM 
derecho-servicio-informacion-notam | Derecho aéreo | Aeródromos | Datos del aeródromo
derecho-aerodromos-datos | Derecho aéreo | Aeródromos | Indicadores (ayudas visuales)
derecho-aerodromos-indicadores | Derecho aéreo | Aeródromos | Marcas (ayudas visuales)
derecho-aerodromos-marcas | Derecho aéreo | Aeródromos | Luces (ayudas visuales)
derecho-aerodromos-luces | Derecho aéreo | Aeródromos | Áreas de uso restringido
derecho-aerodromos-areas-restringidas | Derecho aéreo | Aeródromos | Emergencias
derecho-aerodromos-emergencias | Derecho aéreo | Normativa internacional | Buenas prácticas (EASA, FAA)
derecho-normativa-internacional-buenas-practicas | Principios de vuelo | Aerodinámica | Conceptos básicos de aerodinámica
principios-aerodinamica-conceptos-basicos | Principios de vuelo | Aerodinámica | Leyes y definiciones (Bernoulli, Newton)
principios-aerodinamica-leyes-definiciones | Principios de vuelo | Aerodinámica | Conceptos matemáticos elementales
principios-aerodinamica-conceptos-matematicos | Principios de vuelo | Aerodinámica | Conversión de unidades
principios-aerodinamica-conversion-unidades | Principios de vuelo | Atmósfera estándar | Densidad del aire
principios-atmosfera-estandar-densidad | Principios de vuelo | Atmósfera estándar | Presión y temperatura en la densidad
principios-atmosfera-estandar-presion-temperatura | Principios de vuelo | Atmósfera estándar | Altitud de presión y altitud de densidad
principios-atmosfera-estandar-altitud | Principios de vuelo | – | Presión estática, dinámica y total
principios-presion-estatica-dinamica | Principios de vuelo | – | Efecto Venturi
principios-efecto-venturi | Principios de vuelo | – | Velocidades TAS e IAS
principios-velocidades-tas-ias | Principios de vuelo | – | Flujo de aire, viscosidad y capa límite
principios-flujo-aire | Principios de vuelo | Perfil aerodinámico | Sección y cuerda
principios-perfil-aerodinamico-seccion-cuerda | Principios de vuelo | Perfil aerodinámico | Espesor y línea de curvatura media
principios-perfil-aerodinamico-espesor-curvatura | Principios de vuelo | Perfil aerodinámico | Borde de ataque y borde de salida
principios-perfil-aerodinamico-bordes | Principios de vuelo | Perfil aerodinámico | Extradós e intradós
principios-perfil-aerodinamico-extrados-intrados | Principios de vuelo | Perfil aerodinámico | Superficie alar y envergadura
principios-perfil-aerodinamico-superficie-envergadura | Principios de vuelo | Perfil aerodinámico | Alargamiento y torsión
principios-perfil-aerodinamico-alargamiento-torsion | Principios de vuelo | Fuerzas aerodinámicas en perfil | Ángulo de ataque
principios-fuerzas-aerodinamicas-angulo-ataque | Principios de vuelo | Fuerzas aerodinámicas en perfil | Sustentación 
principios-fuerzas-aerodinamicas-sustentacion | Principios de vuelo | Fuerzas aerodinámicas en perfil | Centro de presiones y centro aerodinámico
principios-fuerzas-aerodinamicas-centro-presiones | Principios de vuelo | Fuerzas aerodinámicas en perfil | Dispositivos hipersustentadores
principios-fuerzas-aerodinamicas-dispositivos-hipersustentadores | Principios de vuelo | Fuerzas aerodinámicas en perfil | Resistencia parásita
principios-fuerzas-aerodinamicas-resistencia-parasita | Principios de vuelo | Fuerzas aerodinámicas en perfil | Resistencia inducida
principios-fuerzas-aerodinamicas-resistencia-inducida | Principios de vuelo | El ala | Formas de ala
principios-ala-formas | Principios de vuelo | El peso | Peso (fuerza de la gravedad)
principios-peso-fuerza-gravedad | Principios de vuelo | La pérdida  | Capa límite y separación de flujo
principios-perdida-capa-limite | Principios de vuelo | La pérdida  | Variación de sustentación y resistencia según ángulo de ataque
principios-perdida-variacion-sustentacion | Principios de vuelo | La pérdida  | Centro de presiones 
principios-perdida-centro-presiones | Principios de vuelo | La pérdida  | Velocidad de pérdida
principios-perdida-velocidad | Principios de vuelo | La pérdida  | Influencia de la forma alar en la pérdida
principios-perdida-influencia-forma-alar | Principios de vuelo | La pérdida  | Síntomas de la pérdida
principios-perdida-sintomas | Principios de vuelo | La pérdida  | Recuperación de la pérdida
principios-perdida-recuperacion | Principios de vuelo | La pérdida  | Barrena (entrada y recuperación)
principios-perdida-barrena | Principios de vuelo | Empuje y tracción | Concepto de empuje (tracción de la hélice)
principios-empuje-traccion-concepto | Principios de vuelo | Estabilidad | Ejes de giro del avión (longitudinal, lateral, vertical)
principios-estabilidad-ejes | Principios de vuelo | Estabilidad | Controles de vuelo (cabeceo, alabeo, guiñada)
principios-estabilidad-controles | Principios de vuelo | Estabilidad | Guiñada adversa
principios-estabilidad-guinada-adversa | Principios de vuelo | Estabilidad | Estabilidad estática (positiva, neutral, negativa)
principios-estabilidad-estatica | Principios de vuelo | Estabilidad | Estabilidad dinámica (longitudinal, lateral, direccional)
principios-estabilidad-dinamica | Principios de vuelo | Estabilidad | Estabilizador vertical y horizontal
principios-estabilidad-estabilizador | Principios de vuelo | Estabilidad | Dispositivos de compensación (trimado)
principios-estabilidad-compensacion | Principios de vuelo | Factor de carga | Cargas estructurales y resistencia
principios-factor-carga-estructurales | Principios de vuelo | Factor de carga | Factor de carga en vuelo recto
principios-factor-carga-vuelo-recto | Principios de vuelo | Factor de carga | Factor de carga en virajes
principios-factor-carga-virajes | Principios de vuelo | Factor de carga | Factor de carga en turbulencia
principios-factor-carga-turbulencia | Principios de vuelo | Aerodinámica operacional | Ascensos y descensos
principios-aerodinamica-operacional-ascensos-descensos | Principios de vuelo | Aerodinámica operacional | Curva polar de velocidades
principios-aerodinamica-operacional-curva-polar | Principios de vuelo | Aerodinámica operacional | Velocidad de máximo alcance en planeo
principios-aerodinamica-operacional-velocidad-planeo | Principios de vuelo | Aerodinámica operacional | Velocidad de mínima potencia requerida
principios-aerodinamica-operacional-velocidad-minima-potencia | Principios de vuelo | Aerodinámica operacional | Velocidad de ascenso óptima (mejor régimen)
principios-aerodinamica-operacional-velocidad-ascenso-optima | Principios de vuelo | Aerodinámica operacional | Velocidad de ascenso con mejor ángulo
principios-aerodinamica-operacional-velocidad-mejor-angulo | Principios de vuelo | Despegue (técnicas) | Despegue normal
principios-despegue-tecnicas-normal | Principios de vuelo | Despegue (técnicas) | Despegue con viento cruzado
principios-despegue-tecnicas-viento-cruzado | Principios de vuelo | Despegue (técnicas) | Velocidad de ascenso segura
principios-despegue-tecnicas-velocidad-segura | Principios de vuelo | Vuelo con viento | Efecto suelo (ground effect)
principios-vuelo-viento-efecto-suelo | Principios de vuelo | Vuelo con viento | Vuelo con viento fuerte y racheado
principios-vuelo-viento-fuerte-racheado | Principios de vuelo | Vuelo con viento | Determinación de la dirección del viento
principios-vuelo-viento-determinacion | Principios de vuelo | Vuelo en terreno montañoso | Vuelo sobre colinas o montañas
principios-vuelo-terreno-montanoso-colinas | Principios de vuelo | Vuelo en terreno montañoso | Barlovento y sotavento (efecto del viento en ladera)
principios-vuelo-terreno-montanoso-barlovento-sotavento | Performance y planificación del vuelo | Definiciones | Masas (peso en vacío, útil, máximo, etc.)
performance-definiciones-masas | Performance y planificación del vuelo | Definiciones | Altitud de densidad (efecto de densidad)
performance-definiciones-altitud-densidad | Performance y planificación del vuelo | Definiciones | Velocidad de máximo alcance y mayor autonomía
performance-definiciones-velocidad-alcance | Performance y planificación del vuelo | Definiciones | Velocidades características Vx (mejor ángulo) y Vy (mejor régimen)
performance-definiciones-velocidades-caracteristicas | Performance y planificación del vuelo | Despegue  | Distancia de despegue disponible
performance-despegue-distancia | Performance y planificación del vuelo | Despegue  | Efecto suelo en despegue
performance-despegue-efecto-suelo | Performance y planificación del vuelo | Despegue  | Ascenso inicial
performance-despegue-ascenso-inicial | Performance y planificación del vuelo | Despegue  | Influencia de masa, viento y altitud de densidad en despegue
performance-despegue-influencia-factores | Performance y planificación del vuelo | Despegue  | Efecto de la pendiente de pista (gradiente)
performance-despegue-pendiente-pista | Performance y planificación del vuelo | Despegue  | Condiciones de la pista (estado/superficie)
performance-despegue-condiciones-pista | Performance y planificación del vuelo | Aterrizaje  | Efecto suelo en aterrizaje
performance-aterrizaje-efecto-suelo | Performance y planificación del vuelo | Aterrizaje  | Aproximaciones (perfil de planeo)
performance-aterrizaje-aproximaciones | Performance y planificación del vuelo | Aterrizaje  | Influencia de masa, viento, altitud densidad en la aproximación
performance-aterrizaje-influencia-factores | Performance y planificación del vuelo | Aterrizaje  | Efecto de la pendiente de pista en aterrizaje
performance-aterrizaje-pendiente-pista | Performance y planificación del vuelo | Aterrizaje  | Condiciones de la pista (estado/superficie)
performance-aterrizaje-condiciones-pista | Performance y planificación del vuelo | En vuelo | Diagrama de rendimiento (curva potencia/velocidad)
performance-vuelo-diagrama-rendimiento | Performance y planificación del vuelo | En vuelo | Configuración, masa, temperatura, altitud (efecto en crucero)
performance-vuelo-configuracion-factores | Performance y planificación del vuelo | En vuelo | Efectos adversos (lluvia, hielo) en rendimiento
performance-vuelo-efectos-adversos | Performance y planificación del vuelo | Maniobras | Factor de carga (efecto en maniobras)
performance-maniobras-factor-carga | Performance y planificación del vuelo | Masa y centrado | Limitaciones del centro de gravedad
performance-masa-centrado-limitaciones-cg | Performance y planificación del vuelo | Masa y centrado | Factor de carga límite (estructural)
performance-masa-centrado-factor-carga-limite | Performance y planificación del vuelo | Masa y centrado | Limitaciones estructurales (carga máxima)
performance-masa-centrado-limitaciones-estructurales | Performance y planificación del vuelo | Masa y centrado | Cálculo de la masa total
